#Pose estimation of object wrt camera. X forward, Y left, Z up
#time in seconds since epoch,position(x), position(y), position(z), q_x, q_y, q_z, q_w 

1407270147.0861732960,0.00111652,0.0073804,0.366191,0.0298561,-0.0567854,-0.997887,0.0103144
1407270147.1077277660,0.0011435,0.00732921,0.366256,0.0296978,-0.0564843,-0.997908,0.0103146
1407270147.1549391747,0.00107743,0.00743894,0.366219,0.0300144,-0.0570865,-0.997865,0.0103141
1407270147.2049088478,0.000983301,0.00760945,0.366135,0.0304893,-0.0579898,-0.997798,0.0103135
1407270147.2399818897,0.00107387,0.00743723,0.366209,0.0300144,-0.0570865,-0.997865,0.0103141
1407270147.2830288410,0.00111043,0.00738114,0.366173,0.0298561,-0.0567854,-0.997887,0.0103144
1407270147.3264286518,0.00107379,0.00746939,0.366169,0.0300935,-0.0572371,-0.997854,0.010314
1407270147.3749005795,0.00116041,0.00729737,0.366237,0.0296186,-0.0563338,-0.997919,0.0103147
1407270147.4246518612,0.00102371,0.00753098,0.36624,0.0302518,-0.0575382,-0.997832,0.0103138
1407270147.4598155022,0.00105144,0.00749529,0.366161,0.0301727,-0.0573876,-0.997843,0.0103139
1407270147.4922857285,0.00106152,0.00746651,0.366174,0.0301033,-0.0572319,-0.997852,0.0104841
1407270147.5314350128,0.00104228,0.00749015,0.36618,0.0302118,-0.057367,-0.997843,0.0103139
1407270147.5650131702,0.00113617,0.00731955,0.366221,0.0297363,-0.0564641,-0.997908,0.0103146
1407270147.5973675251,0.00100572,0.0075592,0.366193,0.0303703,-0.057668,-0.99782,0.0103137
1407270147.6431479454,0.00104415,0.00749368,0.366143,0.0302216,-0.0573619,-0.997841,0.010484
1407270147.6801807880,0.000851442,0.00776972,0.366107,0.0311146,-0.0588136,-0.997732,0.0101427
1407270147.7141103745,0.00097758,0.00753287,0.366146,0.030498,-0.0576006,-0.997819,0.0104838
1407270147.7468004227,0.000945369,0.00758841,0.366142,0.0306769,-0.0578907,-0.9978,0.0101434
1407270147.7919425964,0.000930274,0.0076184,0.366122,0.0307566,-0.058041,-0.997789,0.0101433
1407270147.8307564259,0.000796859,0.00784718,0.366096,0.0313936,-0.0592432,-0.997698,0.0101424
1407270147.8648159504,0.00112356,0.00726642,0.366168,0.0298775,-0.0561969,-0.997921,0.0101446
1407270147.9064872265,0.000772264,0.00783515,0.366148,0.0315147,-0.0591789,-0.997698,0.0101424
1407270147.9487733841,0.000881406,0.00765816,0.366091,0.0310351,-0.0582782,-0.997766,0.010143
1407270147.9872465134,0.000750049,0.00789065,0.36606,0.0316746,-0.0594791,-0.997675,0.0101421
1407270148.0176236629,0.000916414,0.00760027,0.366114,0.0308752,-0.057978,-0.997789,0.0101433
1407270148.0487103462,0.00100697,0.00742973,0.366157,0.030415,-0.0570669,-0.997852,0.0104841
1407270148.1104049683,0.000990794,0.00742182,0.366162,0.0304928,-0.0570254,-0.997852,0.0104841
1407270148.1467769146,0.000970793,0.00742192,0.366228,0.0305511,-0.0569942,-0.997855,0.0101439
1407270148.1836490631,0.000914283,0.00750019,0.366213,0.0308019,-0.0574386,-0.99782,0.0103137
1407270148.2235937119,0.0011277,0.0071567,0.366243,0.0298373,-0.0556399,-0.997952,0.010315
1407270148.2603626251,0.000923424,0.00750765,0.366201,0.0308019,-0.0574386,-0.99782,0.0103137
1407270148.3081157207,0.00105802,0.00727565,0.366217,0.0301589,-0.0562395,-0.997908,0.0103146
1407270148.3515055180,0.000858577,0.00762285,0.366147,0.0311234,-0.0580382,-0.997776,0.0103132
1407270148.3910148144,0.00111791,0.00716007,0.366252,0.0298563,-0.0556297,-0.997948,0.0106552
1407270148.4382042885,0.00072077,0.00784375,0.366116,0.031827,-0.0592046,-0.997689,0.00997219
1407270148.4853703976,0.000703362,0.00782259,0.366083,0.0319077,-0.0591612,-0.997689,0.00997219
1407270148.5238664150,0.000794647,0.00764602,0.366123,0.0314432,-0.0582524,-0.997753,0.010313
1407270148.5614984035,0.000813489,0.00762372,0.366123,0.0313624,-0.0581027,-0.997765,0.0103131
1407270148.5957188606,0.000766917,0.00771284,0.366105,0.0316147,-0.0585463,-0.997732,0.0101427
1407270148.6311969757,0.000903705,0.00748413,0.366133,0.0309878,-0.0573386,-0.997819,0.0104838
1407270148.6901452541,0.00108993,0.00714348,0.366227,0.0300174,-0.0555429,-0.99795,0.0104851
1407270148.7331559658,0.000893668,0.00748844,0.366192,0.0309878,-0.0573386,-0.997819,0.0104838
1407270148.7721819878,0.000784923,0.0076505,0.366125,0.0315325,-0.0582041,-0.997755,0.0101429
1407270148.8171527386,0.000979029,0.00729758,0.366176,0.0305987,-0.0563887,-0.997881,0.0108246
1407270148.8584043980,0.000858379,0.00746959,0.366204,0.0311245,-0.0572645,-0.997822,0.0101436
1407270148.8950138092,0.000842688,0.0075027,0.366173,0.0312155,-0.0574086,-0.997809,0.0103136
